source;destination;local_departure_time;local_arrival_time
CGR;MAO;2016-03-19 09:37:00;2016-03-19 15:00:00
DUS;DUB;2016-05-13 10:30:00;2016-05-13 11:20:00
SCO;TSE;2016-05-13 08:45:00;2016-05-13 12:00:00
YYZ;YQM;2016-07-07 12:05:00;2016-07-07 15:00:00
PEK;HRB;2016-03-10 07:20:00;2016-03-10 09:20:00
YLW;YVR;2016-05-24 07:05:00;2016-05-24 08:04:00
BES;CDG;2016-11-04 06:15:00;2016-11-04 07:35:00
TFN;SPC;2017-01-16 13:00:00;2017-01-16 13:30:00
TIF;AHB;2017-01-04 09:20:00;2017-01-04 10:15:00
MCT;DOH;2016-08-05 17:25:00;2016-08-05 18:05:00
CGK;SRG;2016-05-13 05:40:00;2016-05-13 06:45:00
NBO;DAR;2016-08-15 19:35:00;2016-08-15 21:00:00
NTL;BNE;2016-11-15 12:40:00;2016-11-15 12:55:00
VCP;PFB;2016-05-17 16:25:00;2016-05-17 17:55:00
GYN;BSB;2017-02-08 18:13:00;2017-02-08 18:55:00
LIM;TPP;2016-10-04 16:30:00;2016-10-04 17:45:00
BLR;MAA;2017-01-27 08:20:00;2017-01-27 09:20:00
AMS;BCN;2017-04-08 10:20:00;2017-04-08 12:35:00
CMN;CDG;2016-10-24 14:35:00;2016-10-24 18:40:00
YCU;URC;2017-01-08 11:20:00;2017-01-08 15:20:00
RGN;THL;2016-10-08 15:00:00;2016-10-08 16:10:00
VRN;OLB;2016-08-07 18:05:00;2016-08-07 19:15:00
HRE;JNB;2016-09-10 07:20:00;2016-09-10 09:05:00
VCE;DUS;2016-09-14 10:45:00;2016-09-14 12:35:00
BZE;CUK;2016-10-31 16:40:00;2016-10-31 16:50:00
CSX;CTU;2016-11-27 17:30:00;2016-11-27 19:15:00
CDG;BES;2016-09-21 16:30:00;2016-09-21 17:40:00
ETH;HFA;2016-10-29 17:00:00;2016-10-29 18:10:00
CDG;YUL;2016-08-06 13:05:00;2016-08-06 14:20:00
TFN;SPC;2017-01-16 20:00:00;2017-01-16 20:30:00
OSL;BGO;2016-05-30 22:00:00;2016-05-30 22:55:00
VCP;JTC;2016-06-06 08:35:00;2016-06-06 09:40:00
LHR;GLA;2016-03-27 11:50:00;2016-03-27 13:15:00
NQY;HHN;2016-05-05 11:35:00;2016-05-05 14:20:00
ORY;MRS;2016-04-04 18:00:00;2016-04-04 19:15:00
BOM;AMD;2016-04-22 09:10:00;2016-04-22 10:25:00
BTJ;CGK;2016-05-05 10:25:00;2016-05-05 13:20:00
BOM;GOI;2016-03-29 15:20:00;2016-03-29 16:40:00
CNF;GRU;2016-05-21 07:35:00;2016-05-21 09:20:00
AGP;MXP;2016-05-17 14:35:00;2016-05-17 17:05:00
ZRH;DUB;2016-11-14 21:05:00;2016-11-14 22:20:00
DEL;TRV;2016-07-02 20:50:00;2016-07-03 00:05:00
MEL;DPS;2016-11-12 10:00:00;2016-11-12 13:15:00
DUB;LTN;2017-02-05 16:00:00;2017-02-05 17:15:00
MED;JED;2016-10-28 21:30:00;2016-10-28 22:30:00
SOF;STN;2017-03-05 12:10:00;2017-03-05 13:25:00
UPG;SUB;2016-11-22 09:35:00;2016-11-22 09:55:00
MUC;TBS;2016-05-20 21:45:00;2016-05-21 03:30:00
BOM;BLR;2016-05-16 22:45:00;2016-05-17 00:20:00
PMI;FKB;2017-06-02 20:35:00;2017-06-02 22:40:00
LPB;CBB;2017-08-06 06:05:00;2017-08-06 06:40:00
CAN;LJG;2016-09-13 06:40:00;2016-09-13 09:30:00
DPS;JOG;2016-07-20 07:20:00;2016-07-20 07:30:00
CCU;DEL;2016-07-24 21:30:00;2016-07-24 23:50:00
PUY;LGW;2016-05-19 12:45:00;2016-05-19 14:00:00
SUB;CGK;2016-05-21 20:00:00;2016-05-21 21:25:00
NCE;ORY;2016-12-20 15:00:00;2016-12-20 16:25:00
BRU;FAO;2016-09-04 13:50:00;2016-09-04 16:05:00
AJF;CAI;2016-05-15 16:00:00;2016-05-15 17:00:00
BLR;DEL;2016-05-09 19:00:00;2016-05-09 22:00:00
CJU;KUV;2017-02-14 12:00:00;2017-02-14 12:50:00
BLR;DEL;2016-05-09 13:15:00;2016-05-09 15:50:00
DUB;AMS;2016-08-06 17:20:00;2016-08-06 19:20:00
MPL;CDG;2016-12-17 20:40:00;2016-12-17 22:10:00
PER;KUL;2016-06-23 06:50:00;2016-06-23 12:30:00
LCY;EDI;2016-03-31 16:10:00;2016-03-31 17:30:00
AKL;PVG;2016-04-01 22:00:00;2016-04-02 05:30:00
VCP;CGB;2016-04-16 19:34:00;2016-04-16 20:50:00
YHZ;YDF;2016-04-03 22:30:00;2016-04-04 00:15:00
TXL;GRZ;2016-04-24 16:55:00;2016-04-24 18:25:00
DUB;LHR;2016-11-06 19:05:00;2016-11-06 20:25:00
BCN;PMI;2016-10-09 18:10:00;2016-10-09 18:55:00
BKK;NBO;2017-01-14 01:20:00;2017-01-14 06:25:00
BCN;PMI;2016-10-09 15:00:00;2016-10-09 15:45:00
BES;CDG;2016-11-04 18:20:00;2016-11-04 19:40:00
EIS;SXM;2016-06-10 21:00:00;2016-06-10 21:40:00
BES;CDG;2016-11-04 13:10:00;2016-11-04 14:30:00
BZE;CUK;2016-10-31 07:40:00;2016-10-31 07:50:00
